,freight_value,price,payment_value,payment_installments
29973,5.4,64.9,210.91,2
4022,19.4,69.99,89.39,1
57859,18.4,43.0,61.4,4
106944,39.58,259.0,298.58,1
54792,12.89,64.0,76.89,3
41195,13.08,54.9,38.2,1
24368,12.69,49.99,1.6,1
95957,19.59,90.5,330.29,1
34874,19.7,72.9,20.0,1
87517,17.74,69.5,174.48,1
8683,16.11,47.49,63.6,1
94372,8.29,44.9,106.38,1
104273,18.89,18.45,37.34,1
20665,15.1,15.9,31.0,1
81842,16.94,97.9,114.84,1
48598,13.35,264.29,277.64,4
89845,22.06,28.0,50.06,2
72536,16.52,77.98,94.5,1
42062,38.59,59.9,98.49,1
896,14.55,79.99,94.54,1
9508,18.83,135.0,153.83,1
49397,15.35,250.0,265.35,1
4306,7.94,25.0,65.88,5
12187,19.42,119.0,276.84,2
42655,44.77,139.0,81.34,1
30449,10.72,17.9,139.43,1
5393,12.54,149.9,162.44,3
78522,49.78,159.49,209.27,2
51655,9.06,100.0,109.06,6
80397,23.2,89.0,112.2,1
109357,19.57,210.0,229.57,8
39571,17.86,229.99,247.85,3
94581,17.06,185.81,202.87,1
52162,18.99,59.9,78.89,3
35839,7.78,45.9,53.68,1
18337,7.81,78.0,85.81,3
28496,16.42,239.0,255.42,1
9790,11.85,25.5,37.35,1
88000,34.97,40.1,450.42,1
95093,20.15,130.0,150.15,10
5374,7.79,29.9,37.69,1
74192,15.28,75.0,90.28,9
72815,17.98,103.8,121.78,1
32011,25.81,586.0,611.81,2
55717,16.54,189.9,206.44,2
2104,43.04,89.9,132.94,6
79950,13.1,199.0,212.1,4
108982,38.78,175.0,213.78,4
66805,8.72,79.99,88.71,1
12995,14.05,67.0,81.05,1
41014,13.44,59.99,73.43,1
43494,16.11,29.99,46.1,1
616,39.68,192.97,1163.25,1
6396,11.72,99.9,111.62,3
67339,23.21,12.99,0.41,1
10330,6.09,49.9,353.06,3
12903,82.92,230.0,312.92,10
106899,11.85,48.8,424.55,8
100711,9.49,148.0,294.98,4
87109,38.83,1449.5,2148.4,10
22602,11.73,58.99,70.72,1
98714,20.7,207.9,228.6,2
102506,19.03,249.7,268.73,10
30713,53.21,122.99,176.2,1
88379,18.8,79.9,48.7,1
12071,18.08,119.0,137.08,2
17980,11.62,46.99,92.79,1
77238,22.93,49.99,72.92,2
31494,18.23,10.9,29.13,2
45080,15.42,219.9,427.3,10
79515,37.26,200.0,237.26,4
74153,8.38,148.0,156.38,1
35439,15.58,99.9,15.48,1
61801,14.1,35.9,100.0,1
77925,15.4,42.9,58.3,1
99898,81.03,329.9,410.93,4
84702,12.83,23.8,36.63,3
61164,22.35,85.0,139.37,8
13756,20.89,181.62,268.4,1
42484,15.23,13.99,29.22,2
5616,13.72,99.9,113.62,4
55964,8.83,90.9,99.73,8
51321,17.49,150.0,167.49,3
98957,11.85,9.9,21.75,1
43659,15.1,29.99,270.54,1
38845,8.11,13.3,21.41,1
98398,17.63,44.9,62.53,6
73022,59.11,129.9,189.01,1
342,24.85,76.99,407.36,10
39584,15.29,159.99,175.28,1
14173,20.08,520.0,540.08,1
73726,11.85,21.99,33.84,1
74568,24.09,465.0,489.09,1
37833,21.02,75.0,96.02,1
11897,42.67,1230.0,1272.67,10
59190,21.15,12.9,34.05,1
96643,18.63,138.0,156.63,8
61408,15.66,63.9,159.12,1
18207,7.78,49.0,56.78,5
70025,10.05,119.87,129.92,2
33555,15.44,79.9,95.34,1
29365,17.3,265.99,283.29,5
55939,14.44,20.0,34.44,1
9161,12.04,76.49,88.53,1
100066,16.54,349.97,366.51,8
69219,11.26,33.99,90.5,2
66179,24.97,119.9,144.87,2
71572,37.08,24.9,61.98,6
91421,26.89,89.9,116.79,1
84186,18.31,29.49,47.8,1
102973,7.78,15.0,45.56,1
96571,12.3,129.9,142.2,2
97542,18.72,209.99,228.71,22
7794,15.25,21.99,37.24,1
8558,25.72,29.0,54.72,3
93682,28.98,129.98,438.01,10
26789,18.15,129.0,147.15,1
56576,15.51,62.9,20.0,1
69514,18.51,29.99,48.5,1
90228,21.05,79.9,201.9,10
111100,7.94,29.0,15.48,1
86492,12.05,78.8,90.85,1
96217,15.2,64.9,80.1,1
99758,7.39,49.0,56.39,1
16520,13.35,109.9,246.5,5
95683,21.22,59.9,81.12,1
39777,9.34,45.9,165.72,2
110581,15.77,79.9,95.67,3
42224,17.25,106.99,248.48,10
105138,14.1,23.65,37.75,1
91885,26.47,387.0,413.47,10
32584,0.0,106.9,106.9,4
10628,17.67,59.9,387.85,1
98167,22.98,149.99,172.97,1
70054,15.88,62.4,46.15,1
34437,30.57,105.0,135.57,1
89838,18.23,30.49,97.44,1
94747,10.02,102.0,112.02,10
89295,19.32,43.8,63.12,1
42076,19.66,59.9,79.56,1
63129,36.02,99.9,135.92,1
7433,15.1,24.99,80.18,8
78014,15.23,28.99,176.88,1
99661,15.1,42.0,57.1,1
33604,34.15,38.9,73.05,7
84586,39.56,229.9,269.46,3
10317,28.79,49.0,77.79,1
8935,17.14,99.49,116.63,1
88217,7.39,18.9,52.58,1
16343,10.33,69.99,259.35,1
75823,4.21,24.5,156.73,3
92952,15.45,49.9,65.35,1
72547,8.78,88.83,97.61,7
59674,14.62,76.0,90.62,1
101391,18.71,324.99,343.7,10
29253,7.87,16.49,48.72,4
270,28.0,90.99,237.98,1
93647,14.46,21.7,36.16,2
84623,17.42,139.9,23.94,1
99460,68.17,1670.0,1738.17,10
65514,12.71,82.8,95.51,1
43150,15.79,75.99,184.37,1
80110,9.51,99.9,109.41,4
63408,24.96,66.9,91.86,4
23676,14.52,24.9,39.42,1
60702,42.54,27.5,166.02,8
68374,23.2,87.97,111.17,3
78656,21.73,126.99,148.72,2
52405,27.16,119.9,147.06,9
11250,17.16,59.9,77.06,1
8213,41.08,99.0,140.08,10
95050,18.16,130.0,296.32,8
33891,13.17,148.0,161.17,4
14843,18.15,128.56,146.71,3
105976,12.27,110.0,122.27,1
69727,10.16,14.0,72.32,1
68403,10.39,139.9,150.29,1
104678,11.85,24.9,36.75,3
53393,14.97,169.9,184.87,5
89519,14.74,81.9,96.64,3
1025,18.0,119.99,137.99,1
65915,10.65,175.9,186.55,1
107983,26.37,265.0,291.37,2
105679,34.93,197.9,100.0,1
92206,12.01,89.18,101.19,1
6578,18.38,39.9,174.84,3
60689,21.29,128.99,150.28,1
70113,18.11,219.9,238.01,5
62600,7.39,13.77,21.16,2
9286,7.78,19.9,60.36,2
26555,20.84,46.86,67.7,1
77489,20.67,89.21,659.28,10
73145,56.37,139.99,589.08,1
37259,15.98,29.5,45.48,1
78408,18.8,220.91,479.42,1
22372,19.13,84.99,104.12,10
11206,13.37,49.9,316.35,8
54024,12.04,119.4,131.44,2
53360,17.37,69.9,87.27,6
29682,22.85,18.9,83.5,1
69525,14.1,35.99,100.18,1
2259,16.26,89.9,19.63,1
21578,11.85,23.99,35.84,1
1862,15.38,89.9,210.56,6
66498,15.2,64.99,80.19,6
83923,16.46,99.9,116.36,2
87348,9.34,49.0,58.34,5
29979,12.89,169.9,182.79,2
76115,18.56,64.99,83.55,1
111885,8.89,19.99,28.88,1
48254,33.92,1399.0,1432.92,10
80050,16.56,84.9,101.46,1
77816,7.71,5.18,12.89,1
92006,38.46,129.9,168.36,10
102825,38.51,1775.78,1814.29,1
103847,33.66,169.0,202.66,2
38335,13.15,85.0,98.15,1
55741,8.34,24.99,33.33,1
37561,20.98,69.9,90.88,1
92629,11.85,16.9,57.5,2
98011,17.63,54.75,72.38,1
75799,34.15,19.9,54.05,5
95712,15.14,199.0,214.14,2
53598,35.62,259.9,295.52,2
15035,16.57,116.0,132.57,2
14956,18.02,64.0,164.04,3
50371,13.61,39.0,52.61,1
81391,14.62,65.0,79.62,1
104212,11.73,37.99,49.72,1
83009,11.86,19.0,53.32,1
68608,15.44,48.9,64.34,3
99183,13.71,49.99,39.7,1
95612,27.46,72.9,100.0,1
108800,22.37,94.68,117.05,4
69357,13.43,22.5,35.93,1
70961,15.31,29.9,135.63,4
29596,34.45,1169.44,950.0,10
73884,19.3,101.0,240.6,1
101786,7.67,59.0,66.67,1
85247,7.78,19.9,55.36,1
50679,13.98,153.9,167.88,5
44797,14.52,29.9,88.84,2
34652,17.89,234.9,252.79,2
19777,7.78,75.0,82.78,1
6241,17.95,99.9,117.85,3
35119,8.4,49.89,116.58,6
109037,23.56,119.9,143.46,4
64779,20.74,199.9,220.64,2
46112,25.63,18.9,44.53,1
25690,8.64,29.99,154.52,10
101925,24.77,999.99,1024.76,1
1384,25.75,176.99,202.74,1
4103,7.78,13.99,1.77,1
83687,7.78,64.9,21.95,1
47393,17.67,59.9,77.57,1
74244,8.37,90.0,98.37,1
89753,17.55,399.9,417.45,14
14736,16.6,120.0,136.6,1
33601,20.87,699.9,720.77,5
69090,12.86,59.99,72.85,1
8074,25.66,359.0,384.66,10
7623,15.79,24.99,40.78,1
22762,8.72,49.99,117.42,4
97282,18.13,126.0,144.13,4
49633,37.11,370.47,407.58,3
59806,25.33,69.9,95.23,1
82288,10.96,20.0,30.96,1
21192,7.58,44.99,52.57,5
21904,18.16,84.99,103.15,2
61370,17.77,74.9,185.34,1
51708,22.34,58.9,81.24,1
37999,19.32,33.0,209.28,1
62737,14.1,12.67,26.77,2
24075,11.85,19.9,63.5,6
95515,29.45,359.0,1012.9,10
37415,13.75,120.0,267.5,1
56954,21.65,99.9,121.55,2
74596,22.36,410.0,432.36,8
37882,13.08,69.9,165.96,3
74360,33.06,87.0,120.06,1
51361,16.21,63.9,80.11,8
56379,18.28,57.75,76.03,1
50104,12.55,150.0,162.55,5
19648,19.04,49.0,68.04,2
1540,26.13,89.96,232.18,1
73491,20.55,85.39,105.94,5
63457,7.78,19.9,46.05,1
16617,10.72,45.9,34.61,1
90174,25.75,129.9,778.25,1
29632,16.28,219.0,235.28,3
59755,14.51,59.9,74.41,1
13343,21.17,75.0,288.51,1
69782,17.31,124.99,142.3,8
36865,17.19,330.0,347.19,1
111340,84.59,200.0,113.7,1
42859,19.37,56.99,76.36,1
35651,16.57,124.9,141.47,1
50875,14.1,39.9,54.0,1
41212,19.87,54.9,74.77,1
7266,12.79,29.99,42.78,1
66529,14.81,150.99,165.8,1
110534,20.02,190.0,630.06,1
109803,15.34,84.9,150.0,1
46878,15.52,109.9,250.84,1
6391,20.15,129.9,150.05,4
106190,18.23,49.9,68.13,1
74806,19.88,329.9,349.78,3
2787,15.71,220.0,235.71,8
8592,7.88,19.49,54.74,1
22186,14.15,56.99,71.14,3
88006,57.53,107.9,165.43,3
26449,51.52,59.9,111.42,1
12942,17.92,31.8,99.44,1
25305,45.12,149.0,194.12,1
2323,16.24,86.9,103.14,1
7119,7.78,18.9,26.68,1
67572,14.52,34.9,49.42,1
52564,9.54,110.0,354.17,1
88380,38.11,79.9,118.01,10
34534,13.86,120.0,32.82,1
94863,12.83,55.0,203.49,1
89538,15.1,14.99,60.18,2
33809,25.97,97.9,123.87,10
99028,11.73,49.99,123.44,1
103125,17.17,489.0,506.17,1
96250,10.2,207.9,218.1,3
73275,11.73,69.9,81.63,1
21715,7.78,19.99,27.77,1
16861,12.7,50.9,63.6,5
42603,15.79,76.05,50.35,5
25142,77.6,139.99,14.27,1
91511,1.88,33.9,158.95,1
27670,13.67,27.9,195.79,10
65931,15.31,79.9,190.42,4
86002,34.15,15.99,50.14,1
40008,12.46,179.0,382.92,1
47763,16.39,89.9,106.29,3
41982,23.3,72.0,95.3,8
46639,37.85,329.9,367.75,3
78613,28.96,79.9,217.72,1
17454,15.1,39.99,55.09,1
31118,27.03,135.0,78.83,1
58693,15.23,19.9,35.13,1
61622,15.31,79.9,95.21,4
88467,13.68,79.9,93.58,8
73774,14.52,34.99,49.51,1
87326,8.52,52.0,60.52,3
104781,7.78,15.99,23.77,1
58800,7.78,13.65,21.43,1
9155,50.49,279.49,329.98,3
82012,7.51,35.0,42.51,1
101144,13.6,83.41,97.01,1
68779,62.24,626.0,688.24,10
33041,26.77,98.9,125.67,3
95019,18.22,139.0,157.22,1
15601,16.76,72.99,89.75,3
56686,17.22,68.9,4.82,1
72566,23.31,83.88,107.19,1
46446,43.44,146.99,190.43,2
101252,14.52,16.9,33.35,1
86221,27.62,154.0,181.62,1
78909,19.49,89.9,218.03,1
66744,15.72,119.99,542.84,1
92037,38.55,143.0,181.55,7
18575,17.67,55.0,72.67,1
58903,5.03,18.9,71.8,1
71649,12.71,140.0,152.71,1
35874,7.39,49.9,57.29,1
9509,14.72,135.0,149.72,2
64252,48.87,205.0,253.87,7
8588,7.87,19.49,27.36,1
12216,42.97,99.0,141.97,1
48596,39.27,337.18,376.45,7
81966,13.43,109.9,123.33,1
9660,15.1,10.0,25.1,1
95497,17.59,269.0,286.59,2
93733,16.67,129.89,146.56,8
73642,14.18,59.99,74.17,1
93277,27.06,765.0,792.06,1
89843,12.79,28.0,40.79,1
99548,19.92,259.99,279.91,2
15635,11.73,69.99,81.72,1
107882,16.08,125.0,141.08,1
26276,7.0,49.9,115.36,1
33297,16.09,190.83,206.92,1
92575,19.32,29.9,98.44,3
62715,14.1,18.98,33.08,1
98983,11.85,9.0,1.47,1
23465,7.71,23.9,63.22,1
107375,16.86,157.5,174.36,1
10424,0.0,53.9,53.9,1
25389,45.09,89.99,405.24,4
42952,19.56,53.5,73.06,3
75435,8.92,107.9,116.82,6
76283,20.75,500.0,520.75,3
63941,13.75,120.0,133.75,6
20749,12.79,19.9,32.69,1
46428,14.1,39.99,18.44,1
84561,29.99,57.0,9.34,1
44946,19.33,175.9,195.23,1
107542,15.46,99.89,115.35,1
63717,17.67,59.99,77.66,7
8822,8.3,79.49,87.79,1
85491,23.36,79.9,103.26,3
54963,16.52,499.9,516.42,10
83615,12.0,113.0,125.0,1
45049,10.63,259.0,269.63,3
4129,10.78,269.0,279.78,3
82931,8.07,126.12,134.19,1
25159,23.84,149.0,172.84,7
37452,0.0,69.9,69.9,1
71269,14.53,299.0,313.53,4
112065,375.28,2338.08,2713.36,1
107461,8.88,35.0,43.88,1
84330,15.1,45.49,60.59,1
39765,19.32,47.9,67.22,1
59346,18.23,12.65,30.88,1
15697,18.21,89.99,108.2,3
58088,11.97,109.99,121.96,1
89398,26.98,129.0,155.98,3
49910,22.27,80.0,102.27,2
52511,18.65,110.32,257.94,8
108445,20.23,149.0,169.23,2
65005,11.15,69.9,81.05,4
95760,14.58,69.8,84.38,5
32538,0.0,117.9,117.9,4
12258,25.74,299.0,324.74,3
93891,9.34,24.5,33.84,1
26388,10.65,36.0,192.52,1
101202,12.6,199.89,212.49,1
109321,21.92,739.9,761.82,10
65694,13.11,109.89,1230.0,1
48107,16.05,7.8,23.85,2
22130,15.23,49.99,65.22,2
80998,11.85,40.49,52.34,1
105518,16.11,39.9,56.01,1
54597,39.52,85.0,124.52,2
70127,15.48,104.4,119.88,1
70595,13.72,54.9,68.62,1
95383,57.94,209.99,267.93,6
35373,18.29,849.9,868.19,10
103009,21.3,115.0,136.3,1
88655,26.49,58.99,85.48,4
50204,15.8,150.0,165.8,1
40678,17.6,37.5,55.1,5
3614,22.13,239.9,262.03,15
399,59.91,194.99,2039.2,1
29950,6.67,99.0,317.0,2
89411,21.07,83.3,104.37,1
50186,16.51,116.0,530.04,2
59706,19.82,89.9,109.72,1
13076,7.78,38.4,138.54,5
94096,12.23,139.0,151.23,1
77394,15.1,45.0,60.1,2
43807,21.12,99.99,121.11,1
31906,19.2,199.99,417.37,8
104720,26.84,21.99,126.53,1
51619,0.61,99.0,166.04,4
33412,20.68,379.0,399.68,8
27687,13.0,59.9,72.9,1
103354,36.63,139.0,175.63,8
86537,15.2,65.0,80.2,1
39176,16.81,149.99,166.8,1
64904,10.96,17.33,28.29,1
36206,21.61,159.99,181.6,3
77618,8.72,49.31,58.03,1
108053,9.06,97.9,106.96,1
94993,24.34,210.0,234.34,2
72895,80.59,259.9,340.49,12
8362,13.71,39.9,53.61,1
14934,51.05,47.0,98.05,9
38813,8.11,27.3,35.41,1
64638,19.7,349.9,369.6,1
109553,15.1,31.0,46.1,2
94824,27.72,135.0,488.16,2
104060,16.99,59.9,76.89,3
54177,73.57,89.0,162.57,10
52427,22.93,49.9,72.83,1
64968,9.45,156.99,166.44,8
60489,20.77,98.99,119.76,8
3821,21.19,99.9,121.09,1
68942,83.27,269.9,353.17,10
19306,15.25,21.0,108.75,1
88831,11.75,77.7,178.9,10
38387,22.06,48.0,210.18,1
55534,25.05,1200.0,1225.05,12
73437,37.3,87.0,124.3,4
19536,16.14,199.0,215.14,1
105815,12.24,32.9,93.99,1
75331,19.53,79.99,199.04,4
101169,16.17,184.65,200.82,1
40756,22.06,49.99,72.05,1
55009,12.79,35.9,48.69,1
89134,15.1,39.9,55.0,1
107376,16.99,175.0,191.99,4
35335,19.0,128.9,147.9,7
25388,45.09,89.99,405.24,4
45803,22.06,19.9,41.96,1
48823,15.56,32.89,48.45,2
76217,25.91,90.0,115.91,10
45611,16.79,18.9,35.69,1
50620,46.88,48.9,95.78,3
53545,13.14,120.49,133.63,4
76030,15.1,16.99,32.09,1
21759,10.96,19.99,30.95,1
52770,7.9,91.55,497.25,2
84399,27.2,33.33,60.53,1
56303,10.06,142.9,152.96,3
99916,65.77,198.9,529.34,9
100759,16.42,193.0,209.42,10
98002,16.41,111.38,255.58,2
100016,9.17,59.9,69.07,1
18396,16.79,29.0,91.58,3
27137,13.89,125.0,138.89,6
28265,18.61,72.9,91.51,1
28446,36.24,159.0,195.24,3
108556,12.89,64.99,77.88,7
36728,15.1,32.99,48.09,1
92627,14.1,29.9,44.0,3
22018,8.88,59.99,68.87,3
37267,15.98,29.5,45.48,2
102400,37.99,186.0,223.99,8
79109,19.63,94.9,174.09,1
69365,19.64,57.0,153.28,10
103565,18.54,55.0,73.54,6
1841,21.12,89.9,111.02,1
33619,17.45,144.41,161.86,3
5146,19.33,219.9,239.23,3
30047,26.15,395.0,421.15,10
23337,9.27,52.9,10.81,1
43411,9.34,13.99,69.99,2
85068,25.83,78.45,104.28,1
76157,15.1,50.0,65.1,2
45407,20.29,149.9,170.19,1
93515,20.8,14.9,36.94,2
94004,30.53,104.0,134.53,1
52568,15.65,110.32,251.94,3
64209,26.1,180.0,412.2,4
9959,13.37,49.9,63.27,1
106154,22.23,249.0,271.23,1
81783,37.52,119.0,156.52,3
64445,27.55,144.9,172.45,5
111241,14.7,75.9,90.6,1
47637,24.2,199.9,224.1,7
56168,8.72,44.9,53.62,4
86471,126.78,367.9,494.68,1
26509,7.87,25.5,33.37,1
23282,16.32,18.0,205.92,1
38268,27.86,130.0,157.86,1
99178,14.7,54.99,69.69,5
89073,37.15,34.9,72.05,1
49126,23.0,60.0,415.0,4
24025,20.0,159.9,179.9,6
38505,22.93,35.0,57.93,1
90992,16.8,148.9,165.7,3
53153,15.1,19.99,35.09,3
96726,15.45,99.9,115.35,3
57747,15.17,60.0,12.29,1
85660,16.79,29.99,46.78,4
25024,50.71,120.0,170.71,4
27498,17.94,99.0,116.94,2
39990,0.47,26.0,137.12,8
4704,39.26,269.9,309.16,5
37013,21.22,60.0,81.22,3
103098,8.29,27.3,35.59,1
3548,14.03,144.9,158.93,3
85118,26.68,200.0,226.68,10
8676,16.16,57.49,73.65,1
89370,24.91,148.8,173.71,2
37897,12.43,69.9,164.66,1
32659,12.69,170.0,182.69,1
75479,19.12,109.9,230.14,2
42958,12.83,55.99,137.64,1
63516,20.18,329.0,349.18,3
66039,7.39,18.0,25.39,1
88574,46.7,539.0,585.7,10
15495,16.46,99.99,116.45,1
60251,8.72,49.9,58.62,1
46324,15.92,166.99,182.91,10
35077,12.87,29.9,85.54,2
54002,16.93,69.9,86.83,8
87202,8.72,40.0,97.44,2
38184,17.35,63.0,80.35,1
109213,0.33,103.0,373.79,1
32042,19.5,200.0,219.5,3
20346,13.93,49.9,127.66,6
12547,10.09,35.0,55.64,1
100597,40.56,699.99,740.55,6
10776,20.99,49.9,70.89,1
30529,14.24,22.66,110.7,1
11126,20.99,49.9,70.89,1
43670,46.87,200.0,246.87,10
93599,27.31,109.95,137.26,1
66539,30.06,145.9,175.96,10
34438,30.57,105.0,135.57,2
62050,14.11,20.9,35.01,3
70930,15.9,163.69,359.18,7
93375,15.23,38.0,3.23,1
111072,18.34,161.99,180.33,1
11796,19.32,38.9,174.66,2
82699,17.92,34.23,52.15,1
85434,22.13,69.0,91.13,1
47075,26.29,145.0,171.29,1
47590,18.65,199.9,218.55,4
4157,23.62,129.0,152.62,1
63313,37.55,58.9,96.45,4
9731,19.73,69.9,15.83,1
44473,19.11,28.99,288.6,3
104919,51.28,80.0,131.28,8
100789,13.61,21.49,35.1,1
46005,16.79,34.9,51.69,1
29774,7.57,20.9,28.47,1
57375,21.15,35.0,56.15,5
43620,17.62,168.9,186.52,1
92143,9.44,89.18,98.62,1
58857,19.04,15.0,34.04,1
85199,37.13,103.99,846.72,1
109966,15.79,34.9,50.69,2
39515,18.76,349.99,368.75,10
73344,19.44,619.99,639.43,5
30458,18.23,5.9,144.78,1
108590,17.31,125.0,142.31,3
3030,18.93,89.9,217.66,4
186,28.18,116.6,144.78,5
3509,12.75,58.0,8.45,1
16369,38.53,139.99,178.52,6
99346,29.24,564.99,594.23,10
60759,20.32,47.99,68.31,5
82233,13.71,49.9,63.61,1
68030,14.08,39.9,53.98,5
2211,17.88,89.9,107.78,8
24506,13.95,53.0,66.95,1
34258,7.78,16.9,24.68,1
52017,84.1,169.0,253.1,10
64548,21.89,349.9,1115.37,1
11494,13.37,49.9,126.54,1
